LAPORAN HEALTH CHECK CCTV BAGOPS K3I-KORLANTAS    •    21 Jun 2026 08:07 WIB    •    Total 1120   |   Healthy 24   |   Unhealthy 861   |   Timeout 235,,,,,,,,,,,,,,,,,,
NO,CHECK_TIMESTAMP,KATEGORI,SUB KATEGORI,WILAYAH PROJECT,WILAYAH POLDA,NAMA CCTV,IP,LATITUDE,LONGITUDE,RTSP-1,CCTV_ID,Tipe CCTV,IS_ACTIVE_K3I,STATUS_PING,LATENCY_PING_MS,STREAM_TYPE,STREAM_DETAIL,HEALTH_STATUS
11,2026-06-21 08:06:41,BAGOPS,KORLANTAS - RTMC,HARWAT RTMC 4 POLDA,Polda Kalimantan Barat,Simpang Brimob,vms.k3i-korlantas.id,"-0,070023","109,374591",https://vms.k3i-korlantas.id/K3i/2024/KLBR-001_Analitik_Sp._Brimob.stream/playlist.m3u8,cctv_010e7f1c-db48-4b71-b484-b42e5659bd4f,Arteri,No,ONLINE,"146,53",VMS,Playlist timeout,TIMEOUT
12,2026-06-21 08:06:35,BAGOPS,KORLANTAS - TMC,TMC 3 POLRES TA 2022,Polda Sumatera Utara,Jl. Umum KM 26-27 Medan Tebing - Tinggi tepatnya di Depan Kantor Bupati Kec Lubuk Pakam Kab Deli Serdang,172.16.60.3,"3,5519313","98,8650994",rtsp://onvif:lantas123!!@172.16.60.3:554/live/1F417AA0-4F6F-47BA-A701-44CB5CD53384,cctv_012f4c7d-f532-4501-a07d-f79401beec5d,Arteri,No,OFFLINE,N/A,RTSP,BE 400 (stream tidak tersedia),Unhealthy
13,2026-06-21 08:06:50,BAGOPS,KORLANTAS - RTMC,RTMC 7 POLDA,Polda Metro Jaya,TL Kalibata,vms.k3i-korlantas.id,"-6,25556","106,84305",https://vms.k3i-korlantas.id/K3i/METRO/050_TL+Kalibata.stream/playlist.m3u8,cctv_01cb9e3c-d90e-4c4b-949e-489ca59cf0f5,Arteri,Yes,ONLINE,"89,92",VMS,HTTP 502,Unhealthy
14,2026-06-21 08:06:50,BAGOPS,KORLANTAS - RTMC,RTMC 7 POLDA,Polda Jawa Barat,Patok Beusi Subang,vms.k3i-korlantas.id,"-6,38888093","107,6283495",https://vms.k3i-korlantas.id/K3i/JABAR/090_Patok_Besi_Subang.stream/playlist.m3u8,cctv_01dbaab5-7155-408f-b8b4-55f99045d093,Arteri,No,ONLINE,"34,88",VMS,HTTP 502,Unhealthy
15,2026-06-21 08:06:50,BAGOPS,KORLANTAS - TMC,TMC 8 POLRES,Polda Jambi,Simpang SMPN 7,vms.k3i-korlantas.id,"-1,609931","103,578292",https://vms.k3i-korlantas.id/K3i/2020/JMB-006_SP_SMPN_7.stream/playlist.m3u8,cctv_022babb8-b247-4bb2-b1d0-838123e3f66b,Arteri,No,ONLINE,"102,07",VMS,HTTP 502,Unhealthy
16,2026-06-21 08:06:50,BAGOPS,KORLANTAS - RTMC,RTMC 7 POLDA,Polda Sumatera Selatan,"S. Alang"" Lebar",vms.k3i-korlantas.id,"-2,91348015","104,6819026",https://vms.k3i-korlantas.id/K3i/SUMSEL/225_SP_Alang_Alang_Lebar.stream/playlist.m3u8,cctv_025f87ad-f0f4-4170-aff1-57267f471f45,Arteri,Yes,ONLINE,"228,46",VMS,HTTP 502,Unhealthy
17,2026-06-21 08:06:51,BAGOPS,KORLANTAS - TMC,TMC 4 POLRES TA 2024,Polda Banten,SPIJ 2,vms.k3i-korlantas.id,"-5,993604","106,03032",https://vms.k3i-korlantas.id/K3i/2024/CLG-006_Etle_SPIJ_2.stream/playlist.m3u8,cctv_0289866f-e5cf-4d4e-bfb3-261eb7eb8c4b,Arteri,No,ONLINE,"28,91",VMS,HTTP 502,Unhealthy
18,2026-06-21 08:06:35,BAGOPS,KORLANTAS - RTMC,RTMC 7 POLDA,Polda Metro Jaya,MT Haryono 2,vms.k3i-korlantas.id,"-6,24317","106,85498",https://vms.k3i-korlantas.id/K3i/METRO/070_MT+Haryono+2.stream/playlist.m3u8,cctv_02f27ef6-845c-4fd0-86d3-b8e27b2eebcb,Arteri,No,ONLINE,"19,17",VMS,Playlist timeout,TIMEOUT
19,2026-06-21 08:06:51,BAGOPS,KORLANTAS - RTMC,RTMC 3 POLDA,Polda Sumatera Barat,Lintas Sungai Dareh,vms.k3i-korlantas.id,"-1,2333159","101,7399574",https://vms.k3i-korlantas.id/K3i/2023/SMB-011_Lintas_Sungai_Dareh.stream/playlist.m3u8,cctv_032befab-64b9-430c-88e3-e0378833521b,Arteri,No,ONLINE,"28,02",VMS,HTTP 502,Unhealthy
20,2026-06-21 08:06:51,BAGOPS,KORLANTAS - TMC,RTMC 2 POLDA,Polda Sulawesi Selatan,CTV362 KORLAN SULSEL POSPOL BATAS GOWA,vms.k3i-korlantas.id,"-5,18827105","119,4414487",https://vms.k3i-korlantas.id/K3i/SMARTCITY/SMCT-063_Ditlan_Ptz_Simp_Tempel.stream/playlist.m3u8,cctv_03c451e3-1cba-41b7-9f70-7504ba6bb38a,Arteri,Yes,ONLINE,"16,68",VMS,HTTP 502,Unhealthy
21,2026-06-21 08:06:51,BAGOPS,KORLANTAS - TMC,TMC 8 POLRES,Polda Sumatera Barat,Simpang BI 1,vms.k3i-korlantas.id,"-0,9426768","100,3620198",https://vms.k3i-korlantas.id/K3i/2020/PDG-008_Simpang_BI1.stream/playlist.m3u8,cctv_03f466e0-301e-4604-8854-2c6b3301323b,Arteri,No,ONLINE,"131,93",VMS,HTTP 502,Unhealthy
22,2026-06-21 08:06:52,BAGOPS,KORLANTAS - TMC,TMC 8 POLRES,Polda Sumatera Barat,Simpang Lamun ombak 2,vms.k3i-korlantas.id,"-0,9076413","100,3538606",https://vms.k3i-korlantas.id/K3i/2020/PDG-004_Lamun_Ombak2.stream/playlist.m3u8,cctv_0416ffbd-820d-46cf-86f5-ecce7ad14ddc,Arteri,Yes,ONLINE,"214,76",VMS,HTTP 502,Unhealthy
23,2026-06-21 08:06:52,BAGOPS,KORLANTAS - TMC,TMC 3 POLRES TA 2022,Polda Jawa Tengah,Simpang 4 Ngemplak,vms.k3i-korlantas.id,"-7,55451107","110,8295201",https://vms.k3i-korlantas.id/K3i/2RTMC-2TMC/DLS-014_Simp_Kota_Tanjung_Morawa.stream/playlist.m3u8,cctv_0438bb26-549f-445b-a078-6c1286077085,Arteri,Yes,ONLINE,"36,9",VMS,HTTP 502,Unhealthy
24,2026-06-21 08:06:52,BAGOPS,KORLANTAS - TMC,TMC 3 POLRES TA 2023,Polda Jawa Tengah,Dpn Kmapus UMS,vms.k3i-korlantas.id,"-7,559533","110,769747",https://vms.k3i-korlantas.id/K3i/2022/SKH-007_Depan_Kampus_UMS_2.stream/playlist.m3u8,cctv_046d07a0-d680-41ce-8e2c-58b1b26f8f85,Arteri,No,ONLINE,"20,49",VMS,HTTP 502,Unhealthy
25,2026-06-21 08:06:52,BAGOPS,KORLANTAS - RTMC,RTMC 7 POLDA,Polda Sumatera Selatan,S. Lemabang,vms.k3i-korlantas.id,"-2,97211327","104,7833147",https://vms.k3i-korlantas.id/K3i/SUMSEL/220_Pasar_Lemabang.stream/playlist.m3u8,cctv_0474a0b5-a7b2-4089-8bf9-0cf36fc412ad,Arteri,No,ONLINE,"26,22",VMS,HTTP 502,Unhealthy
26,2026-06-21 08:06:52,BAGOPS,KORLANTAS - RTMC,RTMC 7 POLDA,Polda Metro Jaya,TL Tomang,vms.k3i-korlantas.id,"-6,17963","106,79548",https://vms.k3i-korlantas.id/K3i/METRO/067_TL+Tomang.stream/playlist.m3u8,cctv_04c9e807-fcd8-4f92-9fe7-727c8b969df2,Arteri,Yes,ONLINE,"22,55",VMS,HTTP 502,Unhealthy
27,2026-06-21 08:06:52,BAGOPS,KORLANTAS - TMC,TMC 8 POLRES,Polda Jawa Timur,Simpang 3 Putat,vms.k3i-korlantas.id,"-7,162987","112,631424",https://vms.k3i-korlantas.id/K3i/2020/GRSK-012_Simpang_3_Putat.stream/playlist.m3u8,cctv_04de6d60-5c15-4bea-8a9b-978e6dc47c71,Arteri,Yes,ONLINE,"48,82",VMS,HTTP 502,Unhealthy
28,2026-06-21 08:06:52,BAGOPS,KORLANTAS - RTMC,RTMC 6 POLDA,Polda Bangka Belitung,SP. Beluluk FIX 2,vms.k3i-korlantas.id,"-2,17811807","106,1452857",https://vms.k3i-korlantas.id/K3i/6POLDA/BBL-004_SP_Beluluk_FIX_2.stream/playlist.m3u8,cctv_0517b620-7bca-408f-9c86-a95ba31a80f7,Arteri,No,ONLINE,"35,18",VMS,HTTP 502,Unhealthy
29,2026-06-21 08:06:52,BAGOPS,KORLANTAS - RTMC,RTMC 6 POLDA,Polda Maluku Utara,TL PRIMA FOTO FIX ETLE,vms.k3i-korlantas.id,"0,78963","127,386096",https://vms.k3i-korlantas.id/K3i/6POLDA/MLT-012_Tl_Prima_Foto_Fix_Etle.stream/playlist.m3u8,cctv_058bfffa-e702-49ec-ade4-d6fb06eacbef,Arteri,Yes,ONLINE,"14,65",VMS,HTTP 502,Unhealthy
30,2026-06-21 08:06:53,BAGOPS,KORLANTAS - RTMC,RTMC 3 POLDA,Polda Nusa Tenggara Barat,Simpang Seruni 2,vms.k3i-korlantas.id,"-8,5833185","116,0864008",https://vms.k3i-korlantas.id/K3i/2021/NTB-019_Simpang_Seruni_2.stream/playlist.m3u8,cctv_05904369-1a2f-4a18-9734-ba21f5f3397f,Arteri,Yes,ONLINE,"72,71",VMS,HTTP 502,Unhealthy
31,2026-06-21 08:06:53,BAGOPS,KORLANTAS - RTMC,RTMC 7 POLDA,Polda Metro Jaya,Perempatan Tanah Tinggi,vms.k3i-korlantas.id,"-6,16662","106,65294",https://vms.k3i-korlantas.id/K3i/METRO/020_Tanah+Tinggi+Tangerang+Kota.stream/playlist.m3u8,cctv_06111a70-3037-4fdb-990d-0de86295f52d,Arteri,Yes,ONLINE,"38,47",VMS,HTTP 502,Unhealthy
32,2026-06-21 08:06:53,BAGOPS,KORLANTAS - TMC,TMC 8 POLRES,Polda Jambi,Simpang Xaverius,vms.k3i-korlantas.id,"-1,626989","103,632022",https://vms.k3i-korlantas.id/K3i/2020/JMB-007_SP_Xaverius.stream/playlist.m3u8,cctv_0650b5b7-e18c-4d4c-a4c0-effdbdb9e39a,Arteri,No,ONLINE,"16,22",VMS,HTTP 502,Unhealthy
33,2026-06-21 08:06:53,BAGOPS,KORLANTAS - TMC,TMC 3 POLRES TA 2022,Polda Sulawesi Selatan,JL. URIP SUMOHARDJO/ RACING CENTRE,vms.k3i-korlantas.id,"-5,140979","119,452848",https://vms.k3i-korlantas.id/K3i/SURAKARTA/SKT-004_Batas-Jurug.stream/playlist.m3u8,cctv_06e00fa1-79a2-4dbe-8465-4e76ab5213e5,Arteri,Yes,ONLINE,"22,96",VMS,HTTP 502,Unhealthy
34,2026-06-21 08:06:53,BAGOPS,KORLANTAS - RTMC,RTMC 7 POLDA,Polda Metro Jaya,Terminal Pulo Gadung,vms.k3i-korlantas.id,"-6,18242","106,9103",https://vms.k3i-korlantas.id/K3i/METRO/066_TL+Terminal+Pulo+Gadung.stream/playlist.m3u8,cctv_07167a41-95b5-4342-a2ca-2972c92e4819,Arteri,Yes,ONLINE,"41,16",VMS,HTTP 502,Unhealthy
35,2026-06-21 08:06:53,BAGOPS,KORLANTAS - RTMC,RTMC 6 POLDA,Polda Banten,Banten 4 (Warung Pojok) PTZ,vms.k3i-korlantas.id,"-6,125474","106,164007",https://vms.k3i-korlantas.id/K3i/6POLDA/BNT-026_Banten_4-Warung_Pojok-PTZ.stream/playlist.m3u8,cctv_0753f523-e724-4e3e-b6d0-b4bb68224701,Arteri,No,ONLINE,"26,32",VMS,HTTP 502,Unhealthy
36,2026-06-21 08:06:53,BAGOPS,KORLANTAS - RTMC,RTMC 3 POLDA,Polda Nusa Tenggara Barat,Intercetion Batujai,vms.k3i-korlantas.id,"-8,7381075","116,2442446",https://vms.k3i-korlantas.id/K3i/2021/NTB-010_Simpang_Batu_Jai.stream/playlist.m3u8,cctv_076c6ca7-34eb-4f8e-a1f9-506168d29c04,Arteri,Yes,ONLINE,"35,88",VMS,HTTP 502,Unhealthy
37,2026-06-21 08:06:53,BAGOPS,KORLANTAS - RTMC,RTMC 3 POLDA,Polda Bengkulu,Sp 3 Brimob,vms.k3i-korlantas.id,"-3,7895273","102,3081921",https://vms.k3i-korlantas.id/K3i/SURAKARTA/SKT-059_Simpang-Empat-Dr.Oen.stream/playlist.m3u8,cctv_07bdbcd2-8a9f-48ae-a3c5-19ca394ee4fe,Arteri,Yes,ONLINE,"21,35",VMS,HTTP 502,Unhealthy
38,2026-06-21 08:06:53,BAGOPS,KORLANTAS - TMC,TMC 8 POLRES,Polda Lampung,Simpang Rm Begadang Resto 2,vms.k3i-korlantas.id,"-5,44075","105,265465",https://vms.k3i-korlantas.id/K3i/2020/BLPG-006_Begadang_2.stream/playlist.m3u8,cctv_07ee4f62-3672-4f12-a8e1-3f99057e6a69,Arteri,No,ONLINE,"25,53",VMS,HTTP 502,Unhealthy
39,2026-06-21 08:06:53,BAGOPS,KORLANTAS - RTMC,RTMC 6 POLDA,Polda Bangka Belitung,SP. Bandara FIX,vms.k3i-korlantas.id,"-2,155278","106,148444",https://vms.k3i-korlantas.id/K3i/6POLDA/BBL-006_SP_Bandara_FIX.stream/playlist.m3u8,cctv_080f39e3-210a-4731-a6d5-abbc8d74ac79,Arteri,No,ONLINE,"38,93",VMS,HTTP 502,Unhealthy
40,2026-06-21 08:06:55,BAGOPS,KORLANTAS - TMC,TMC 8 POLRES,Polda Jawa Barat,Simpang Perumnas,10.45.42.19,"-6,7422158","108,5633104",rtsp://onvif:lantas123!!@10.45.42.19:554/live/BF7AFA4B-A61F-4FF4-9926-B7D3B378B580,cctv_082a256e-c0f9-4dc9-9d6b-030db8e91a54,Arteri,Yes,OFFLINE,N/A,RTSP,Video mengalir (7 segmen),Healthy
41,2026-06-21 08:06:53,BAGOPS,KORLANTAS - TMC,TMC 3 POLRES TA 2022,Polda Jawa Tengah,Simpang 4 Sabar Motor,vms.k3i-korlantas.id,"-7,57129685","110,8046115",https://vms.k3i-korlantas.id/K3i/2RTMC-2TMC/SULSEL-007_Jl_Baddoka.stream/playlist.m3u8,cctv_0835d6b1-7b49-4846-9132-08d249bfc89b,Arteri,No,ONLINE,"27,2",VMS,HTTP 502,Unhealthy
42,2026-06-21 08:06:53,BAGOPS,KORLANTAS - RTMC,RTMC 3 POLDA,Polda Gorontalo,Polsek Randangan,vms.k3i-korlantas.id,"0,527046","121,801529",https://vms.k3i-korlantas.id/K3i/SURAKARTA/SKT-060_Smpng-Empat-Utara-Jembatan-Gilingan.stream/playlist.m3u8,cctv_08fb4e41-c801-4bca-9203-27f1f508fcc9,Arteri,Yes,ONLINE,"43,6",VMS,HTTP 502,Unhealthy
43,2026-06-21 08:06:53,BAGOPS,KORLANTAS - RTMC,RTMC 3 POLDA,Polda Nusa Tenggara Barat,Tugu Koperasi,vms.k3i-korlantas.id,"-8,6890185","116,1160089",https://vms.k3i-korlantas.id/K3i/2021/NTB-020_Tugu_Koprasi.stream/playlist.m3u8,cctv_0959ad51-6ce7-490a-b855-f084fb2bee10,Arteri,Yes,ONLINE,"59,65",VMS,HTTP 502,Unhealthy
44,2026-06-21 08:06:53,BAGOPS,KORLANTAS - RTMC,HARWAT RTMC 4 POLDA,Polda Sulawesi Barat,Sp. KFC Kantor Lurah Simboro,vms.k3i-korlantas.id,"-2,68269783","118,8702357",https://vms.k3i-korlantas.id/K3i/2024/SLBR-010_Sp_4_Toyota.stream/playlist.m3u8,cctv_0977dd29-d4af-41b4-a92b-4cbfec346f7a,Arteri,Yes,ONLINE,"49,49",VMS,HTTP 502,Unhealthy
45,2026-06-21 08:07:02,BAGOPS,KORLANTAS - RTMC,RTMC 7 POLDA,Polda Jawa Tengah,Lingkar Kudus,vms.k3i-korlantas.id,"-6,84133","110,81802",https://vms.k3i-korlantas.id/K3i/JATENG/145_Lingkar_Kudus.stream/playlist.m3u8,cctv_09af5f7b-100a-46de-9bec-edc718f315a5,Arteri,Yes,ONLINE,"27,12",VMS,HTTP 502,Unhealthy
46,2026-06-21 08:07:02,BAGOPS,KORLANTAS - RTMC,RTMC 7 POLDA,Polda Metro Jaya,Jagakarsa,vms.k3i-korlantas.id,"-6,30275697","106,8396337",https://vms.k3i-korlantas.id/K3i/METRO/048_TL+Jagakarsa.stream/playlist.m3u8,cctv_09f33c76-908c-418b-b849-1e6fcdf13747,Arteri,Yes,ONLINE,"16,09",VMS,HTTP 502,Unhealthy
47,2026-06-21 08:07:02,BAGOPS,KORLANTAS - TMC,TMC 8 POLRES,Polda Jambi,Simpang Lantas Jelutung 2,vms.k3i-korlantas.id,"-1,602509","103,618455",https://vms.k3i-korlantas.id/K3i/2020/JMB-013_SP_Lantas_Jelutung_2.stream/playlist.m3u8,cctv_0ad712f0-eef3-4df8-bb73-5a6e1aae58a2,Arteri,No,ONLINE,"25,49",VMS,HTTP 502,Unhealthy
48,2026-06-21 08:07:02,BAGOPS,KORLANTAS - RTMC,RTMC 6 POLDA,Polda Riau,Simpang Soetta,vms.k3i-korlantas.id,"0,47424228","101,418551",https://vms.k3i-korlantas.id/K3i/6POLDA/RIAU-013_Simpang_Soetta.stream/playlist.m3u8,cctv_0adbd48f-e7e6-450a-808c-fbaa9525ffe8,Arteri,No,ONLINE,"22,61",VMS,HTTP 502,Unhealthy
49,2026-06-21 08:07:02,BAGOPS,KORLANTAS - RTMC,RTMC 7 POLDA,Polda Jawa Timur,Simpang 4 Doho Kediri,vms.k3i-korlantas.id,"-7,82767","112,01024",https://vms.k3i-korlantas.id/K3i/JATIM/171_Simpang_4_Ndoho_Kediri-Ndoho_Plaza.stream/playlist.m3u8,cctv_0b05c18a-d1fe-4b15-ae74-4fd019b58564,Arteri,No,ONLINE,"17,04",VMS,HTTP 502,Unhealthy
50,2026-06-21 08:07:02,BAGOPS,KORLANTAS - RTMC,RTMC 7 POLDA,Polda DIY,Simpang 3 Gamping,vms.k3i-korlantas.id,"-7,80041791","110,325264",https://vms.k3i-korlantas.id/K3i/DIY/199_Simpang_3_Gamping.stream/playlist.m3u8,cctv_0b0b5cb4-a0f3-4024-b335-564839074dab,Arteri,Yes,ONLINE,"37,49",VMS,HTTP 502,Unhealthy
51,2026-06-21 08:07:02,BAGOPS,KORLANTAS - TMC,TMC 3 POLRES TA 2023,Polda Jawa Tengah,Tugu Kartasura,vms.k3i-korlantas.id,"-7,5503804","110,7365854",https://vms.k3i-korlantas.id/K3i/2022/SKH-002_Bund_Tugu_Kartasuro.stream/playlist.m3u8,cctv_0b5b776e-e05f-4e61-9251-3e665933eed5,Arteri,Yes,ONLINE,"48,42",VMS,HTTP 502,Unhealthy
52,2026-06-21 08:07:03,BAGOPS,KORLANTAS - RTMC,RTMC 3 POLDA,Polda Sumatera Barat,SP Lubeg,vms.k3i-korlantas.id,"-0,957165","100,402741",https://vms.k3i-korlantas.id/K3i/2023/SMB-012_SP_Lubeg.stream/playlist.m3u8,cctv_0c4759f5-8484-4e50-a512-59981b6d62ac,Arteri,Yes,ONLINE,"31,9",VMS,HTTP 502,Unhealthy
53,2026-06-21 08:07:03,BAGOPS,KORLANTAS - TMC,TMC 3 POLRES TA 2022,Polda Jawa Tengah,Simpang 3 Pasar Nusukan,vms.k3i-korlantas.id,"-7,54702","110,8208","https://vms.k3i-korlantas.id/K3i/2RTMC-2TMC/DLS-008_Lewat_Mesjid_Takwa,_sebelum_kantor_nasdem.stream/playlist.m3u8",cctv_0c93a875-8295-4eea-bae8-1ef5f4d34a4c,Arteri,No,ONLINE,"24,75",VMS,HTTP 502,Unhealthy
54,2026-06-21 08:07:03,BAGOPS,KORLANTAS - RTMC,RTMC 7 POLDA,Polda Jawa Tengah,Exit Tol Pejagan,vms.k3i-korlantas.id,"-6,89457","108,8863",https://vms.k3i-korlantas.id/K3i/JATENG/141_Exit_Tol_Pejagan.stream/playlist.m3u8,cctv_0ca1bc2d-23bc-421b-b0f7-8d515b4cb821,Arteri,No,ONLINE,"32,32",VMS,HTTP 502,Unhealthy
55,2026-06-21 08:07:02,BAGOPS,KORLANTAS - RTMC,RTMC 6 POLDA,Polda Kalimantan Timur,TL Beruang Madu FIX 2,vms.k3i-korlantas.id,"-1,26917","116,85654",https://vms.k3i-korlantas.id/K3i/6POLDA/KTM-015_TL_Beruang_Madu_FIX_2.stream/playlist.m3u8,cctv_0cd1d626-f759-429f-addf-06e505a774c5,Arteri,Yes,ONLINE,"15,4",VMS,HTTP 502,Unhealthy
56,2026-06-21 08:07:03,BAGOPS,KORLANTAS - RTMC,RTMC 3 POLDA,Polda Nusa Tenggara Timur,SP Gubernur  -NTT,vms.k3i-korlantas.id,"-10,16993408","123,6072559",https://vms.k3i-korlantas.id/K3i/2021/NTT-004_SP_BG-Gubernur.stream/playlist.m3u8,cctv_0d76aa91-48e2-4896-a93a-66d984354c4c,Arteri,Yes,ONLINE,"40,45",VMS,HTTP 502,Unhealthy
57,2026-06-21 08:07:03,BAGOPS,KORLANTAS - RTMC,RTMC 6 POLDA,Polda Banten,Banten 1 (KP3B) FIX,vms.k3i-korlantas.id,"-6,174026","106,164649",https://vms.k3i-korlantas.id/K3i/6POLDA/BNT-022_Banten_1-KP3B-FIX.stream/playlist.m3u8,cctv_0db0a208-69f6-4bd2-b42b-ce59968ee210,Arteri,Yes,ONLINE,"19,43",VMS,HTTP 502,Unhealthy
58,2026-06-21 08:07:03,BAGOPS,KORLANTAS - RTMC,RTMC 6 POLDA,Polda Sulawesi Utara,Pos polisi,vms.k3i-korlantas.id,"1,46622","124,83996",https://vms.k3i-korlantas.id/K3i/6POLDA/SLT-013_Pos_polisi.stream/playlist.m3u8,cctv_0db1e527-de65-41a0-80d0-647b1a082c4f,Arteri,No,ONLINE,"14,38",VMS,HTTP 502,Unhealthy
59,2026-06-21 08:07:03,BAGOPS,KORLANTAS - RTMC,RTMC 6 POLDA,Polda Bangka Belitung,Selan PTZ,vms.k3i-korlantas.id,"-2,14825","106,094889",https://vms.k3i-korlantas.id/K3i/6POLDA/BBL-007_Selan_PTZ.stream/playlist.m3u8,cctv_0dbc97de-f6e6-4c2d-ab2c-1d36a0e5d08f,Arteri,No,ONLINE,"21,96",VMS,HTTP 502,Unhealthy
60,2026-06-21 08:07:03,BAGOPS,KORLANTAS - RTMC,RTMC 7 POLDA,Polda Jawa Barat,Pospol Lingga Ciawi,vms.k3i-korlantas.id,"-6,65322996","106,846049",https://vms.k3i-korlantas.id/K3i/JABAR/109_Pos_Pol_Lingga_Ciawi.stream/playlist.m3u8,cctv_0dc0c6d1-07bc-4ecd-937a-6e2a9bbc3bca,Arteri,Yes,ONLINE,"18,12",VMS,HTTP 502,Unhealthy
